,Manager,Player,Team,Total Wildcard,Total Division,Total Conference,Total Superbowl,Total Points
197,Gage ,Bucky Irving,TB,16.3,0.0,0.0,0.0,16.3
198,Griffin Stanley,Kareem Hunt,KC,0.0,11.6,0.0,0.0,11.6
199,Hawk Tua | Brock Michalek ,Bucky Irving,TB,16.3,0.0,0.0,0.0,16.3
200,Karrtoons,Bucky Irving,TB,16.3,0.0,0.0,0.0,16.3
201,Liebersquad,Bucky Irving,TB,16.3,0.0,0.0,0.0,16.3
202,Matt’s last chance at fantasy,Kareem Hunt,KC,0.0,11.6,0.0,0.0,11.6
203,Maye Day,Bucky Irving,TB,16.3,0.0,0.0,0.0,16.3
204,McSRQ,Rachaad White,TB,3.5000000000000004,0.0,0.0,0.0,3.5000000000000004
205,Miami Mike Goes Detroit,Bucky Irving,TB,16.3,0.0,0.0,0.0,16.3
206,Michaels motivated sea'men,Bucky Irving,TB,16.3,0.0,0.0,0.0,16.3
207,Murphys,Brian Robinson Jr.,WAS,7.800000000000001,19.7,0.0,0.0,27.5
208,Mythical Hail Marys,Rachaad White,TB,3.5000000000000004,0.0,0.0,0.0,3.5000000000000004
209,New Year |  Same Me | Wesley ,Bucky Irving,TB,16.3,0.0,0.0,0.0,16.3
210,Nick Dakuginow,Bucky Irving,TB,16.3,0.0,0.0,0.0,16.3
211,Pirates Life For Me ,Bucky Irving,TB,16.3,0.0,0.0,0.0,16.3
212,Sarasota Supreme Team ,Kareem Hunt,KC,0.0,11.6,0.0,0.0,11.6
213,See deez TDs,Bucky Irving,TB,16.3,0.0,0.0,0.0,16.3
214,Shaun McElroy,Bucky Irving,TB,16.3,0.0,0.0,0.0,16.3
215,Shot in the Dark / JC,Bucky Irving,TB,16.3,0.0,0.0,0.0,16.3
216,Show Me Your TDs!/Richard Silva,Kareem Hunt,KC,0.0,11.6,0.0,0.0,11.6
217,Silver Papa,Brian Robinson Jr.,WAS,7.800000000000001,19.7,0.0,0.0,27.5
218,Stat-O-Matic | Chris K,Bucky Irving,TB,16.3,0.0,0.0,0.0,16.3
219,Tanja,Bucky Irving,TB,16.3,0.0,0.0,0.0,16.3
220,Turd Ferguson,Bucky Irving,TB,16.3,0.0,0.0,0.0,16.3
221,Tutt-Nation,Bucky Irving,TB,16.3,0.0,0.0,0.0,16.3
222,2-10 Hahaha,Kenneth Gainwell,PHI,1.4000000000000001,0.0,0.0,0.0,1.4000000000000001
223,A G-Thang,Jaylen Warren,PIT,6.5,0.0,0.0,0.0,6.5
224,Abarrett35,Javonte Williams,DEN,6.300000000000001,0.0,0.0,0.0,6.300000000000001
225,Alexander’s Raiders,Ray Davis,BUF,0.30000000000000004,0.0,0.0,0.0,0.30000000000000004
226,Ball Too Well (Allie’s Version),Jeremy McNichols,WAS,0.1,6.8,0.0,0.0,6.8999999999999995
227,Blake Rogers,Ray Davis,BUF,0.30000000000000004,0.0,0.0,0.0,0.30000000000000004
228,Born tua be wild ,Ty Johnson,BUF,15.0,0.0,0.0,0.0,15.0
229,Danny,Kenneth Gainwell,PHI,1.4000000000000001,0.0,0.0,0.0,1.4000000000000001
